filename	outdir	comments	type	levels	height	width	mpp_x	mpp_y	comment	Magnification	nonwhite	template1_MSE_hist	template2_MSE_hist	template3_MSE_hist	template4_MSE_hist	michelson_contrast	rms_contrast	grayscale_brightness	chan1_brightness	chan2_brightness	chan3_brightness	chan1_brightness_YUV	chan2_brightness_YUV	chan3_brightness_YUV	pixels_to_use	warnings
TCGA-A1-A0SF-01Z-00-DX1.7F252D89-EA78-419F-A969-1B7313D77499.svs	./output_tcga-brca\TCGA-A1-A0SF-01Z-00-DX1.7F252D89-EA78-419F-A969-1B7313D77499.svs	Pen marking	aperio	4	84727	65276	0.2521	0.2521	"Aperio Image Library v11.1.6  65276x84727 (256x256) JPEG/RGB Q=30;Aperio Image Library v11.1.6  68000x84827 [0,100 65276x84727] (256x256) J2K/YUV16 Q=70|AppMag = 40|StripeWidth = 1000|ScanScope ID = SS1336|Filename = 46202|Date = 12/06/11|Time = 10:46:51|Time Zone = GMT-08:00|User = bcf19525-0142-4993-b774-fb5ad5362126|MPP = 0.2521|Left = 24.181761|Top = 23.409918|LineCameraSkew = -0.001615|LineAreaXOffset = 0.000000|LineAreaYOffset = 0.000000|Focus Offset = 0.000500|DSR ID = ap1336-dsr|ImageID = 46202|Exposure Time = 109|Exposure Scale = 0.000001|DisplayColor = 0|OriginalWidth = 68000|OriginalHeight = 84827|ICC Profile = ScanScope v1"	40	0.39228	0.00127	0.00044	0.00222	0.00074	1	0.15061	0.63725	207.39248	147.69572	177.0758	0.66233	0.01579	0.13245	2119050	
TCGA-A1-A0SM-01Z-00-DX1.AD503DBD-4D93-4476-B467-F091254FDF78.svs	./output_tcga-brca\TCGA-A1-A0SM-01Z-00-DX1.AD503DBD-4D93-4476-B467-F091254FDF78.svs	Pen marking	aperio	4	80501	100794	0.2521	0.2521	"Aperio Image Library v11.1.6  100794x80501 (256x256) JPEG/RGB Q=30;Aperio Image Library v11.1.6  105000x80601 [0,100 100794x80501] (256x256) J2K/YUV16 Q=70|AppMag = 40|StripeWidth = 1000|ScanScope ID = SS1336|Filename = 46215|Date = 12/06/11|Time = 13:58:09|Time Zone = GMT-08:00|User = bcf19525-0142-4993-b774-fb5ad5362126|MPP = 0.2521|Left = 16.913927|Top = 21.150715|LineCameraSkew = -0.001615|LineAreaXOffset = 0.000000|LineAreaYOffset = 0.000000|Focus Offset = 0.000500|DSR ID = ap1336-dsr|ImageID = 46215|Exposure Time = 109|Exposure Scale = 0.000001|DisplayColor = 0|OriginalWidth = 105000|OriginalHeight = 80601|ICC Profile = ScanScope v1"	40	0.33279	0.00056	0.00049	0.00153	0.0009	1	0.14985	0.6287	188.57595	150.40149	175.43898	0.64576	0.02078	0.08224	2637490	
TCGA-A1-A0SN-01Z-00-DX1.5E9B85AE-AFB7-41DC-8A1B-BD6DA39B6540.svs	./output_tcga-brca\TCGA-A1-A0SN-01Z-00-DX1.5E9B85AE-AFB7-41DC-8A1B-BD6DA39B6540.svs	Pen Marking	aperio	4	72891	113274	0.2521	0.2521	"Aperio Image Library v11.1.6  113274x72891 (256x256) JPEG/RGB Q=30;Aperio Image Library v11.1.6  118000x72991 [0,100 113274x72891] (256x256) J2K/YUV16 Q=70|AppMag = 40|StripeWidth = 1000|ScanScope ID = SS1336|Filename = 46196|Date = 12/05/11|Time = 18:06:40|Time Zone = GMT-08:00|User = bcf19525-0142-4993-b774-fb5ad5362126|MPP = 0.2521|Left = 22.795021|Top = 22.071436|LineCameraSkew = -0.001615|LineAreaXOffset = 0.000000|LineAreaYOffset = 0.000000|Focus Offset = 0.000500|DSR ID = ap1336-dsr|ImageID = 46196|Exposure Time = 109|Exposure Scale = 0.000001|DisplayColor = 0|OriginalWidth = 118000|OriginalHeight = 72991|ICC Profile = ScanScope v1"	40	0.25875	0.0018	0.00022	0.00262	0.00032	1	0.15614	0.68721	197.85608	167.44735	185.90117	0.70056	0.01401	0.0661	2086574	
TCGA-A1-A0SQ-01Z-00-DX1.36071264-3407-4224-BCBB-2ED00294569A.svs	./output_tcga-brca\TCGA-A1-A0SQ-01Z-00-DX1.36071264-3407-4224-BCBB-2ED00294569A.svs	Pen Marking	aperio	4	89810	98874	0.2521	0.2521	"Aperio Image Library v11.1.6  98874x89810 (256x256) JPEG/RGB Q=30;Aperio Image Library v11.1.6  103000x89910 [0,100 98874x89810] (256x256) J2K/YUV16 Q=70|AppMag = 40|StripeWidth = 1000|ScanScope ID = SS1336|Filename = 46195|Date = 12/05/11|Time = 17:39:30|Time Zone = GMT-08:00|User = bcf19525-0142-4993-b774-fb5ad5362126|Parmset = COVERSLIP|MPP = 0.2521|Left = 20.067823|Top = 23.639782|LineCameraSkew = -0.001615|LineAreaXOffset = 0.000000|LineAreaYOffset = 0.000000|Focus Offset = 0.000500|DSR ID = ap1336-dsr|ImageID = 46195|Exposure Time = 109|Exposure Scale = 0.000001|DisplayColor = 0|OriginalWidth = 103000|OriginalHeight = 89910|ICC Profile = ScanScope v1"	40	0.70027	0.0013	0.00047	0.00216	0.00046	1	0.17293	0.65829	198.41973	157.52977	180.33228	0.6759	0.01539	0.08967	6073873	
TCGA-A2-A0YF-01Z-00-DX1.6166E995-0669-43D6-B9C7-FE39BCE529CF.svs	./output_tcga-brca\TCGA-A2-A0YF-01Z-00-DX1.6166E995-0669-43D6-B9C7-FE39BCE529CF.svs	Coverslip	aperio	4	66761	151699	0.2505	0.2505	"Aperio Image Library v10.2.20  158000x66861 [0,0 151699x66761] (256x256) JPEG/RGB Q=30|AppMag = 40|StripeWidth = 1000|ScanScope ID = SS1248CNTLR|Filename = TCGA-A2-A0YF-01Z-00-DX1|Title = TCGA-A2-A0YF-01Z-00-DX1|Date = 02/07/11|Time = 14:11:55|User = 47bffa20-dd1d-426b-9d5e-b9b5cd4c2a47|Parmset = GOG136 on RESBPCLACIE01|MPP = 0.2505|Left = 20.967001|Top = 20.762953|LineCameraSkew = 0.001550|LineAreaXOffset = 0.000000|LineAreaYOffset = 0.000000|Focus Offset = 0.000000|DSR ID = resc3-dsr2|ImageID = 50536|Exposure Time = 109|Exposure Scale = 0.000001|DisplayColor = 0|OriginalWidth = 158000|OriginalHeight = 66861|ICC Profile = ScanScope v1"	40	0.40707	0.00016	0.00096	0.00141	0.00143	1	0.15178	0.57822	182.71322	134.71094	169.86871	0.60028	0.03242	0.10198	4025762	
TCGA-A2-A0YI-01Z-00-DX1.1CF2EC2D-C722-467F-8832-409B823E8D8F.svs	./output_tcga-brca\TCGA-A2-A0YI-01Z-00-DX1.1cf2ec2d-c722-467f-8832-409b823e8d8f.svs	Converslip	aperio	4	62758	134417	0.2505	0.2505	"Aperio Image Library v10.2.20  140000x62858 [0,0 134417x62758] (256x256) JPEG/RGB Q=30|AppMag = 40|StripeWidth = 1000|ScanScope ID = SS1248CNTLR|Filename = TCGA-A2-A0YI-01Z-00-DX1|Title = TCGA-A2-A0YI-01Z-00-DX1|Date = 02/04/11|Time = 14:25:10|User = 47bffa20-dd1d-426b-9d5e-b9b5cd4c2a47|Parmset = GOG136 on RESBPCLACIE01|MPP = 0.2505|Left = 21.542521|Top = 19.624994|LineCameraSkew = 0.001550|LineAreaXOffset = 0.000000|LineAreaYOffset = 0.000000|Focus Offset = 0.000000|DSR ID = resc3-dsr2|ImageID = 50292|Exposure Time = 109|Exposure Scale = 0.000001|DisplayColor = 0|OriginalWidth = 140000|OriginalHeight = 62858|ICC Profile = ScanScope v1"	40	0.36012	0.00028	0.00157	0.00145	0.00209	1	0.14429	0.56282	175.0236	131.47218	170.20536	0.58396	0.0411	0.08984	2966700	
TCGA-A2-A1FW-01Z-00-DX1.DC2BC5D7-E57B-444E-833F-9A1B6E11DE6D.svs	./output_tcga-brca\TCGA-A2-A1FW-01Z-00-DX1.DC2BC5D7-E57B-444E-833F-9A1B6E11DE6D.svs	Knife Chatter	aperio	4	47859	128316	0.2485	0.2485	"Aperio Image Library v10.2.41  134000x47959 [0,100 128316x47859] (256x256) JPEG/RGB Q=30|AppMag = 40|StripeWidth = 1000|ScanScope ID = SS1436CNTLR|Filename = TCGA-A2-A1FW-01Z-00-DX1|Title = TCGA-A2-A1FW-01Z-00-DX1|Date = 06/27/11|Time = 17:28:36|Time Zone = GMT-04:00|User = 816a6d95-4ab8-4763-9e22-513e35c6aa56|Parmset = GOG136 on RESBPCLACIE01|MPP = 0.2485|Left = 18.987188|Top = 16.958305|LineCameraSkew = 0.000833|LineAreaXOffset = -0.014041|LineAreaYOffset = 0.000544|Focus Offset = -0.000500|DSR ID = resc3-dsr2|ImageID = 69353|Exposure Time = 109|Exposure Scale = 0.000001|DisplayColor = 0|OriginalWidth = 134000|OriginalHeight = 47959|ICC Profile = ScanScope v1"	40	0.33292	0.00125	0.00013	0.00218	0.00042	1	0.16338	0.66069	198.49692	158.14877	182.46664	0.67837	0.0183	0.08777	1997184	
TCGA-A7-A6VV-01Z-00-DX2.4C2BF8C1-CC84-4A6E-BC0F-430BC8BE6B26.svs	./output_tcga-brca\TCGA-A7-A6VV-01Z-00-DX2.4C2BF8C1-CC84-4A6E-BC0F-430BC8BE6B26.svs	Very little tissue	aperio	4	89026	99008	0.2468	0.2468	"Aperio Image Library v12.0.11   103168x89126 [0,100 99008x89026] (240x240) JPEG/RGB Q=30|AppMag = 40|StripeWidth = 992|ScanScope ID = SS1552CNTLR|Filename = TCGA-A7-A6VV-01Z-00-DX2|Title = TCGA-A7-A6VV-01Z-00-DX2|Date = 08/02/13|Time = 14:24:36|Time Zone = GMT-04:00|User = 982af3a6-933a-4800-be4c-319292af72cc|Parmset = GOG136 on O: Drive|MPP = 0.2468|Left = 12.909687|Top = 23.471884|LineCameraSkew = -0.000950|LineAreaXOffset = 0.006927|LineAreaYOffset = -0.001649|Focus Offset = -0.000500|DSR ID = resc3-dsr2|ImageID = 133379|Exposure Time = 109|Exposure Scale = 0.000001|DisplayColor = 0|OriginalWidth = 103168|OriginalHeight = 89126|ICC Profile = ScanScope v1"	40	0.11098	0.00217	0.00114	0.00248	0.00039	1	0.20082	0.68617	198.62175	166.83767	185.98332	0.70009	0.0144	0.06914	955228	
TCGA-A7-A6VX-01Z-00-DX2.9EE94B59-6A2C-4507-AA4F-DC6402F2B74F.svs	./output_tcga-brca\TCGA-A7-A6VX-01Z-00-DX2.9EE94B59-6A2C-4507-AA4F-DC6402F2B74F.svs	Missing Tissue	aperio	3	35918	46648	0.2456	0.2456	"Aperio Image Library vFS90 01  48608x36018 [0,100 46648x35918] (240x240) JPEG/RGB Q=30|AppMag = 40|StripeWidth = 992|ScanScope ID = SS1534CNTLR|Filename = TCGA-A7-A6VX-01Z-00-DX2|Title = TCGA-A7-A6VX-01Z-00-DX2|Date = 08/02/13|Time = 17:10:37|Time Zone = GMT-04:00|User = 82cc914a-f539-49d7-8197-c56d3984f729|Parmset = GOG136 on O: Drive|MPP = 0.2456|Left = 26.162260|Top = 16.904634|LineCameraSkew = -0.000622|LineAreaXOffset = 0.001338|LineAreaYOffset = -0.001931|Focus Offset = 0.000000|DSR ID = resc3-dsr2|ImageID = 133409|Exposure Time = 109|Exposure Scale = 0.000001|DisplayColor = 0|OriginalWidth = 48608|OriginalHeight = 36018|ICC Profile = ScanScope v1"	40	0.09795	0.00461	0.00257	0.00521	0.00125	1	0.13306	0.79067	208.20089	198.49339	213.27473	0.7964	0.01967	0.01761	160230	
TCGA-AC-A23H-01Z-00-DX1.8E0AE339-1047-4CA5-BFC5-37A3B10FD8B5.svs	./output_tcga-brca\TCGA-AC-A23H-01Z-00-DX1.8E0AE339-1047-4CA5-BFC5-37A3B10FD8B5.svs	Black ink on edges	aperio	3	40776	33864	0.2457	0.2457	"Aperio Image Library v10.2.41  34544x40876 [0,100 33864x40776] (240x240) J2K/YUV16 Q=70|AppMag = 40|StripeWidth = 2032|ScanScope ID = SS1546|Filename = 28697|Date = 07/13/11|Time = 14:52:04|Time Zone = GMT-07:00|User = fd41823d-5273-43eb-bd56-2bcf9e48caaa|MPP = 0.2457|Left = 25.546551|Top = 15.948736|LineCameraSkew = 0.000963|LineAreaXOffset = 0.005330|LineAreaYOffset = -0.004028|Focus Offset = 0.000000|DSR ID = ap1546-dsr|ImageID = 28697|Exposure Time = 109|Exposure Scale = 0.000001|DisplayColor = 0|OriginalWidth = 34544|OriginalHeight = 40876|ICC Profile = ScanScope v1"	40	0.3184	0.00046	0.00088	0.00149	0.00166	1	0.19066	0.5336	171.12433	123.5103	157.35812	0.55532	0.0304	0.10155	429172	
